Date,GOOGL,IBM,AMZN,FB,AAPL
2017-05-08,958.69,149.93524875507,949.04,151.06,151.76067827566
2017-05-05,950.28,150.43978722237,934.15,150.24,147.75340284929
2017-05-04,954.72,154.32085235549,937.53,150.85,145.34308619433
2017-05-03,948.45,153.91334051651,941.03,151.8,145.86879311907
2017-05-02,937.09,154.36936566965,946.68,152.78,146.31514805518
2017-05-01,932.82,154.117096436,948.43,152.46,145.41251918439
2017-04-28,924.52,155.52398254675,924.99,150.25,142.48641460326
2017-04-27,891.44,155.55309053525,918.76,147.7,142.62528058338
2017-04-26,889.14,155.3008213016,909.29,146.56,142.48720812314
2017-04-25,888.84,155.62100917508,907.62,146.49,143.36920547689
2017-04-24,878.93,155.97030503706,907.41,145.47,142.47649560468
2017-04-21,858.95,155.61130651225,898.53,143.68,141.1175927992
2017-04-20,860.08,157.47421777614,902.06,143.8,141.28621577506
2017-04-19,856.51,156.88235534334,899.2,142.27,139.54047202496
2017-04-18,853.99,164.99378147156,903.78,140.96,140.05625995113
2017-04-17,855.13,166.012561069,901.99,141.42,140.68115686168
2017-04-13,840.18,164.48924300425,884.67,139.39,139.90747497243
2017-04-12,841.46,165.58564390436,896.23,139.58,140.65139986594
2017-04-11,839.88,165.50802260169,902.36,139.92,140.48277689007
2017-04-10,841.7,166.10958769733,907.04,141.04,142.01030267141
2017-04-07,842.1,167.02163800361,894.88,140.78,142.17892564727
2017-04-06,845.095,167.32242055142,898.28,141.17,142.49633360184
2017-04-05,848.91,167.73963505323,909.28,141.85,142.85341755072
2017-04-04,852.57,169.33087175781,906.83,141.73,143.59734244423
2017-04-03,856.75,169.31146643215,891.51,142.28,142.53600959616
2017-03-31,847.8,168.96217057017,886.54,142.05,142.49633360184
2017-03-30,849.48,168.69049601085,876.34,142.41,142.7641465635
2017-03-29,849.87,168.76811731351,874.32,142.65,142.95260753652
2017-03-28,840.63,169.32116909498,856.0,141.76,142.63519958196
2017-03-27,838.51,168.60317204535,846.82,140.32,139.73885199657
2017-03-24,835.14,168.66138802235,845.61,140.34,139.50079603064
2017-03-23,839.65,169.62195164279,847.38,139.53,139.77852799089
2017-03-22,849.8,169.58314099146,848.06,139.59,140.27447791989
2017-03-21,850.14,168.70990133651,843.2,138.51,138.70727614424
2017-03-20,867.91,170.47578597208,856.97,139.94,140.31415391421
2017-03-17,872.37,170.42727265792,852.31,139.84,138.85606112294
2017-03-16,870.0,171.96999604833,853.42,139.99,139.55039102354
2017-03-15,868.39,170.58251526324,852.97,139.72,139.3222540562
2017-03-14,865.91,170.49519129775,852.53,139.32,137.86416126493
2017-03-13,864.58,171.21318834737,854.59,139.6,138.07246023511
2017-03-10,861.405,172.54245315546,852.46,138.79,138.01294624363
2017-03-09,857.84,171.91178007133,853.0,138.24,137.55667230894
2017-03-08,853.64,174.11428453438,850.5,137.72,137.87408026351
2017-03-07,851.15,175.01663217782,846.02,137.3,138.38986818967
2017-03-06,847.27,175.10395614332,846.61,137.42,138.21132621523
2017-03-03,849.08,174.69644430434,849.88,137.17,138.64776215275
2017-03-02,849.85,175.16217212032,848.91,136.76,137.83440426919
2017-03-01,856.75,176.53995024257,853.08,137.42,138.65768115133
2017-02-28,844.93,174.47328305919,845.04,135.54,135.8803615489
2017-02-27,849.67,174.06577122021,848.64,136.41,135.82084755742
2017-02-24,847.81,175.95779047261,845.24,135.44,135.55303459576
2017-02-23,851.0,176.24887035759,852.19,135.36,135.42408761422
2017-02-22,851.36,175.76373721595,855.61,136.12,135.99938953187
2017-02-21,849.27,174.90020022383,856.44,133.72,135.59271059008
2017-02-17,846.55,175.29800939998,845.07,133.53,134.62064872923
2017-02-16,842.17,176.03541177527,844.14,133.84,134.24868628248
2017-02-15,837.32,176.27797834609,842.7,133.44,134.41234975905
2017-02-14,840.03,174.77406560701,836.39,133.85,133.92631882862
2017-02-13,838.96,174.02696056888,836.53,134.05,132.21033207426
2017-02-10,834.85,173.36717949625,827.46,134.19,131.04980924039
2017-02-09,830.06,171.94088805983,821.36,134.14,131.34737919779
2017-02-08,829.88,170.93181112522,819.71,134.2,130.40911308577
2017-02-07,829.23,171.78853980631,812.5,131.84,129.9054123309
2017-02-06,821.62,169.28573691773,807.64,132.06,128.68072814257
2017-02-03,820.13,169.24723225791,810.2,130.98,127.48567341042
2017-02-02,818.26,168.05358780335,839.95,130.84,126.94246671398
2017-02-01,815.24,167.77442901963,832.35,133.23,127.15974939256
2017-01-31,820.19,167.99583081362,823.48,130.32,119.85115020417
2017-01-30,823.83,169.22797992799,830.38,130.98,120.12769179508
2017-01-27,845.03,170.67190467141,835.77,132.18,120.44373932755
